author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
ИНКОМ-Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/297263870/,Москва,sale,flat,15,15,1,37.5,-1,0,8990000.0,, Василия Ощепкова,4,Коммунарка,Москвичка
ИНКОМ-Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300153836/,Москва,sale,flat,1,17,1,43.4,-1,0,8990000.0,, Липовый Парк,10к4,Коммунарка,Коммунарка
МИЭЛЬ,real_estate_agent,https://www.cian.ru/sale/flat/301211568/,Москва,sale,flat,3,12,1,42.4,-1,0,8900000.0,,проспект Куприна,36к1,Бунинская аллея,Эко Бунино
МИЭЛЬ,real_estate_agent,https://www.cian.ru/sale/flat/297583392/,Москва,sale,flat,11,14,1,34.1,-1,0,8950000.0,Молжаниновский,Ленинградское шоссе,228к6,Новоподрезково,1-й Ленинградский
МИЭЛЬ,real_estate_agent,https://www.cian.ru/sale/flat/296510517/,Москва,sale,flat,3,15,1,36.5,-1,0,8950000.0,,,к1.3,Бунинская аллея,Бунинские Кварталы ЖК
Самолет Плюс,real_estate_agent,https://www.cian.ru/sale/flat/300210172/,Москва,sale,flat,7,12,1,35.2,-1,0,8950000.0,,проспект Куприна,36к2,Бунинская аллея,Эко Бунино
На Петровке,real_estate_agent,https://www.cian.ru/sale/flat/301776342/,Москва,sale,flat,9,9,1,37.1,-1,0,8999000.0,Нижегородский,2-я Карачаровская ,12,Стахановская,
EstateLiga,real_estate_agent,https://www.cian.ru/sale/flat/298884089/,Москва,sale,flat,7,12,1,34.0,-1,0,8900000.0,,проспект Куприна,36к2,Бунинская аллея,Эко Бунино
Егор Россихин,realtor,https://www.cian.ru/sale/flat/300072032/,Москва,sale,flat,11,12,1,35.0,-1,0,8990000.0,Рязанский, Маевок,1к1,Плющево,
Агентство Алисы Спиридоновой,real_estate_agent,https://www.cian.ru/sale/flat/300482196/,Москва,sale,flat,10,17,1,37.1,-1,0,8900000.0,,проспект Нововатутинский,14,Коммунарка,"Новые Ватутинки, мкр. Центральный"
ГОРОДА,real_estate_agent,https://www.cian.ru/sale/flat/301272646/,Москва,sale,flat,8,14,1,33.6,-1,0,8950000.0,,проспект Куприна,38к1,Бунинская аллея,Эко Бунино
МИЦ-Столичный ипотечный центр недвижимости,real_estate_agent,https://www.cian.ru/sale/flat/298392717/,Москва,sale,flat,11,12,1,34.8,-1,0,8900000.0,,проспект Куприна,36к1,Бунинская аллея,Эко Бунино
DIGITAL BROKER,real_estate_agent,https://www.cian.ru/sale/flat/297111365/,Москва,sale,flat,9,12,1,32.5,-1,0,8900000.0,Можайский, Говорова,10К1,Сетунь,
ШАНС,real_estate_agent,https://www.cian.ru/sale/flat/298506216/,Москва,sale,flat,10,14,1,34.3,-1,0,8900000.0,, Логинова,5к1,Щербинка,Остафьево
ТЕРЕМГРАД,real_estate_agent,https://www.cian.ru/sale/flat/296384011/,Москва,sale,flat,15,17,1,40.0,-1,0,8950000.0,Южное Бутово,бульвар Адмирала Ушакова,2,Улица Скобелевская,
Павел Смирнов,realtor,https://www.cian.ru/sale/flat/295839757/,Москва,sale,flat,9,17,1,38.5,-1,0,8900000.0,Некрасовка,Рождественская ,8,Некрасовка,
Екатерина Кодневская,realtor,https://www.cian.ru/sale/flat/300833668/,Москва,sale,flat,2,9,1,34.4,-1,0,8900000.0,Лианозово,Абрамцевская ,3А,Алтуфьево,
Империя,real_estate_agent,https://www.cian.ru/sale/flat/300522515/,Москва,sale,flat,14,14,1,38.2,-1,0,8900000.0,Крюково,проспект Георгиевский,1935,Зеленоград — Крюково,
LUZIYA CLUB,real_estate_agent,https://www.cian.ru/sale/flat/301039347/,Москва,sale,flat,4,16,1,33.2,-1,0,8900000.0,Южное Бутово,Бартеневская ,,Улица Горчакова,Южные сады
Владис,real_estate_agent,https://www.cian.ru/sale/flat/295294901/,Москва,sale,flat,2,25,1,36.0,-1,0,9000000.0,Люблино,Юго-Восточный ао,к3,Перерва,Светлый Мир Станция Л ЖК
Welcome 24,real_estate_agent,https://www.cian.ru/sale/flat/299282755/,Москва,sale,flat,7,9,1,34.4,-1,0,9000000.0,Вешняки, Молдагуловой,22К2,Выхино,
PoiskDom,real_estate_agent,https://www.cian.ru/sale/flat/301825471/,Москва,sale,flat,4,8,1,30.0,-1,0,9000000.0,, Золотошвейная,9,Филатов Луг,
Павел Минеев,realtor,https://www.cian.ru/sale/flat/294611240/,Москва,sale,flat,12,17,1,37.8,-1,0,9000000.0,Косино-Ухтомский,Лухмановская ,29,Лухмановская,
Елена Маранова,realtor,https://www.cian.ru/sale/flat/298248749/,Москва,sale,flat,7,16,1,35.0,-1,0,9000000.0,Можайский,Сколковское шоссе,26К2,Сетунь,
ГОРОБМЕН,real_estate_agent,https://www.cian.ru/sale/flat/300652082/,Москва,sale,flat,12,12,1,39.0,-1,0,9000000.0,Марьино,Донецкая ,27,Курьяново,
Дипломат,real_estate_agent,https://www.cian.ru/sale/flat/290954288/,Москва,sale,flat,10,17,1,38.0,-1,0,9000000.0,Ярославский,Палехская ,147к1,Медведково,
Проспект-М,real_estate_agent,https://www.cian.ru/sale/flat/301789599/,Москва,sale,flat,3,16,1,33.5,-1,0,9000000.0,Южное Бутово, Адмирала Лазарева,35,Улица Горчакова,
ЕСН,real_estate_agent,https://www.cian.ru/sale/flat/297148387/,Москва,sale,flat,10,17,1,36.6,-1,0,9000000.0,, Яворки,1к4,Коммунарка,Кленовые Аллеи
МИЭЛЬ,real_estate_agent,https://www.cian.ru/sale/flat/297080935/,Москва,sale,flat,10,16,1,39.2,-1,0,9041283.0,,,к1.3,Бунинская аллея,Бунинские Кварталы ЖК
Ольга Морозова,realtor,https://www.cian.ru/sale/flat/298518814/,Москва,sale,flat,9,9,1,34.7,-1,0,9000000.0,Отрадное, Бестужевых,3Б,Отрадное,
Андрей Бережняк,realtor,https://www.cian.ru/sale/flat/297194878/,Москва,sale,flat,16,16,1,34.0,-1,0,9000000.0,Головинский,Фестивальная ,46К3,Грачёвская,
Татьяна Рыжикова,realtor,https://www.cian.ru/sale/flat/299299480/,Москва,sale,flat,14,18,1,37.0,-1,0,9090000.0,Десеновское поселение, 3-я Нововатутинская,9,,"Новые Ватутинки, мкр. Центральный"
ГОРОДА,real_estate_agent,https://www.cian.ru/sale/flat/296473413/,Москва,sale,flat,5,6,1,45.0,-1,0,9000000.0,Бабушкинский,Олонецкий проезд,4к2,Бабушкинская,
РИВЬЕРА,real_estate_agent,https://www.cian.ru/sale/flat/294258222/,Москва,sale,flat,23,23,1,34.0,-1,0,9000000.0,Чертаново Северное,Кировоградская ,8К3,Южная,
Ирина Бойко,realtor,https://www.cian.ru/sale/flat/287477970/,Москва,sale,flat,2,9,1,35.9,-1,0,9000000.0,Гольяново,Алтайская ,34,Щёлковская,
ИНФИНИТИ,real_estate_agent,https://www.cian.ru/sale/flat/299856070/,Москва,sale,flat,10,21,1,44.0,-1,0,9000000.0,,,6,Остафьево,Новомосковский
ИНГРУПП,real_estate_agent,https://www.cian.ru/sale/flat/301233216/,Москва,sale,flat,9,14,1,35.0,-1,0,9000000.0,Москворечье-Сабурово, Борисовские Пруды,13К2,Борисово,
Елена Панченкова,realtor,https://www.cian.ru/sale/flat/298510251/,Москва,sale,flat,9,17,1,38.1,-1,0,9000000.0,, 3-я Нововатутинская,11,Кедровая,
Самолет плюс,real_estate_agent,https://www.cian.ru/sale/flat/299139536/,Москва,sale,flat,12,14,1,34.8,-1,0,9000000.0,Лосиноостровский,Изумрудная ,36,Бабушкинская,
Dream Realty,real_estate_agent,https://www.cian.ru/sale/flat/301397397/,Москва,sale,flat,8,16,1,35.0,-1,0,9000000.0,Теплый Стан, Генерала Тюленева,27,Тёплый Стан,
ГОРОДА,real_estate_agent,https://www.cian.ru/sale/flat/301356978/,Москва,sale,flat,2,18,1,38.4,-1,0,9000000.0,, 1-я Нововатутинская,5,Коммунарка,"Новые Ватутинки, мкр. Центральный"
Алексей Авдюшин,realtor,https://www.cian.ru/sale/flat/301263395/,Москва,sale,flat,10,12,1,40.9,-1,0,9050000.0,Перово, Плеханова,26К3,Перово,
Градомиръ,real_estate_agent,https://www.cian.ru/sale/flat/295514393/,Москва,sale,flat,17,23,1,37.8,-1,0,9000000.0,Ярославский,Ярославское шоссе,124,Медведково,
