author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Космополис,real_estate_agent,https://www.cian.ru/sale/flat/301037884/,Москва,sale,flat,12,12,2,52.0,-1,0,14400000.0,Отрадное,Отрадная ,1,Отрадное,
Адресъ-недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/301209198/,Москва,sale,flat,5,5,2,58.4,-1,0,14500000.0,Измайлово,Верхняя Первомайская ,6к3,Первомайская,
ID 16594271,unknown,https://www.cian.ru/sale/flat/298705499/,Москва,sale,flat,12,12,2,55.0,-1,0,14400000.0,Косино-Ухтомский,Салтыковская ,6/2к2,Новокосино,мой адрес На Салтыковской
ID 96674244,homeowner,https://www.cian.ru/sale/flat/296629472/,Москва,sale,flat,2,9,2,46.0,-1,0,14500000.0,, Сосенский Стан,1,Ольховая,Коммунарка
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/299687178/,Москва,sale,flat,4,20,2,51.1,-1,0,14550000.0,Митино,Северо-Западный ао,1.4,Пятницкое шоссе,Митинский Лес ЖК
Анна Озерецковская,realtor,https://www.cian.ru/sale/flat/301601005/,Москва,sale,flat,8,9,2,38.0,-1,0,14600000.0,Останкинский,Калибровская ,11,Алексеевская,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/301225428/,Москва,sale,flat,2,17,2,60.3,-1,0,14550000.0,Некрасовка,Рождественская ,32,Некрасовка,Некрасовка-Парк
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/300386282/,Москва,sale,flat,1,9,2,42.3,-1,0,14600000.0,Очаково-Матвеевское,Матвеевская ,42К1,Давыдково,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/296103876/,Москва,sale,flat,10,14,2,55.6,-1,0,14700000.0,,бульвар Скандинавский,23к2,Потапово,Скандинавия
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/301405653/,Москва,sale,flat,2,5,2,55.1,-1,0,14700000.0,Фили-Давыдково, Алексея Свиридова,13К2,Кунцевская,
ID 87186348,realtor,https://www.cian.ru/sale/flat/301378085/,Москва,sale,flat,7,9,2,45.4,-1,0,14750000.0,Рязанский, Академика Скрябина,16К2,Рязанский проспект,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/299856718/,Москва,sale,flat,7,17,2,52.0,-1,0,14825000.0,Солнцево,Солнцевский проспект,14,Солнцево,
